;INVENTARIO DE PRODUCTOS;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;CODIGO;NOMBRE;CATEGORIA;FABRICANTE;DESCRIPCIÓN; PRECIO VENTA ; PRECIO COMPRA ; UNIDAD ;STOCK EN ALMACEN;FECHA INGRESO;ENTRADA;SALIDA;STOCK; IMPORTE INVENTARIO ; PROVEEDOR ; Columna1 
;R_0090;"Bisagra fija 2 1/2 """;;;;;;;;;0;0;0; S/. -   ;;
;R_0091;Bisagra Fija 3 1/2;;Rino;"3""";S/ 21.00;;caja(12par);2;;0;0;2; S/. 42.00 ;;
;R_0092;Bisagra fija 3 1/2;;;3 1/2 alum;;S/ 29.00; docena ;;21/02/2025;0;0;0; S/. -   ;;
;R_0093;"BISAGRA FIJA 3""";;;"ALUMINIZADA 3""";S/ 26.00;S/ 20.00; CAJA ;20;4/07/2024;0;0;20; S/. 520.00 ;;
;R_0094;"Bisagra Fija 4""";;Indusmel;"4""";S/ 27.00;;caja(6par);1;;0;0;1; S/. 27.00 ;;
;R_0095;Bisagra Nylon;;Fexaro;"3"" X 2 1/2""";;;unidad;1;;0;0;1; S/. -   ;;
;R_0096;Broca 1/2;;hss;dorado;;S/ 7.40; unidad ;5;9/09/2024;0;0;5; S/. -   ;negociaciones generales;
;R_0097;Broca 1/4;;EUROTOOLS;P/concreto 1/4;S/ 4.00;S/ 1.78; unidad ;10;1/05/2025;0;0;10; S/. 40.00 ;alfa;
;R_0098;Broca 1/8;;hss;dorado;;S/ 0.75; unidad ;50;9/09/2024;0;0;50; S/. -   ;negociaciones generales;
;R_0099;BROCA 3/32;;WINGS;METAL;S/ 2.00;S/ 0.65; UNIDAD ;10;11/07/2024;0;0;10; S/. 20.00 ;;
;R_0100;Broca 3/32;;hss;dorado;;S/ 0.45; unidad ;20;9/09/2024;0;0;20; S/. -   ;negociaciones generales;
;R_0101;Broca 3/8;;;dorado;;S/ 4.40; unidad ;5;24/03/2025;0;0;5; S/. -   ;Negociaciones generales cia;
;R_0102;Broca 5/16;;EUROTOOLS;P/Concreto 5/16;S/ 6.00;S/ 2.50; unidad ;10;2/05/2025;0;0;10; S/. 60.00 ;alfa;
;R_0103;Broca 5/32;;hss;dorado;;S/ 0.85; unidad ;40;9/09/2024;0;0;40; S/. -   ;negociaciones generales;
;R_0104;Broca 5/64;;hss;dorado;;S/ 0.44; unidad ;20;9/09/2024;0;0;20; S/. -   ;negociaciones generales;
;R_0105;Broca 7/64;;hss;dorado;;S/ 0.70; unidad ;20;9/09/2024;0;0;20; S/. -   ;negociaciones generales;
;R_0106;Broca concreto 1/4;;eurotools;;S/ 4.00;S/ 1.78; unidad ;10;22/04/2025;0;0;10; S/. 40.00 ;;
;R_0107;Broca concreto 5/16;;Eurotools;;S/ 5.00;S/ 2.50; unidad ;10;22/04/2025;0;0;10; S/. 50.00 ;;
;R_0108;Broca fierro 1/8;;Eurotools;dorado;S/ 2.00;S/ 0.80; unidad ;10;21/02/2025;0;0.25;9.75; S/. 19.50 ;alfa;
;R_0109;Broca Fierro dorado 5/16;;Eurotools;dorado;S/ 5.00;S/ 2.60; unidad ;10;21/02/2025;0;0;10; S/. 50.00 ;alfa;
;R_0110;broca hss 11/64;;;;;S/ 1.00;;;;0;0;0; S/. -   ;;
;R_0111;broca hss 13/64;;;;;S/ 1.25;;;;0;0;0; S/. -   ;;
;R_0112;broca hss 17/64;;;;;S/ 1.90;;;;0;0;0; S/. -   ;;
;R_0113;broca hss 5/16;;;;S/ 5.00;S/ 2.75; unidad ;50;9/09/2024;0;0;50; S/. 250.00 ;negociaciones generales;
;R_0114;broca hss 7/32;;;;;S/ 1.30;;;;0;0;0; S/. -   ;;
;R_0115;broca hss 9/64;;eurotools;P/Fierro dorado ;S/ 2.00;S/ 0.85; unidad ;10;22/04/2025;0;0;10; S/. 20.00 ;alfa;
;R_0116;"Brocha 1 1/2 """;;Pionero;Mango naranja;S/ 2.00;;;1;;0;0;1; S/. 2.00 ;;
;R_0117;"Brocha 1""";;Pionero;Mango naranja;S/ 1.70;;;9;;0;0;9; S/. 15.30 ;;
;R_0118;Brocha 1/2;;eco;M/Madera;S/ 1.50;S/ 0.80;;12;1/04/2024;0;0;12; S/. 18.00 ;;
;R_0119;Brocha 1/2;;Pionero;Mango naranja;S/ 1.00;;;6;;0;0;6; S/. 6.00 ;;
;R_0120;"Brocha 2 1/2""";;Pionero;Mango naranja;S/ 4.50;;;1;;0;0;1; S/. 4.50 ;;
;R_0121;"BROCHA 2""";;C&A;BROCHA DENYLON;S/ 4.00;S/ 1.49; unidad ;12;28/06/2024;0;0;12; S/. 48.00 ;;
;R_0122;"Brocha 3""";;Pionero;Mango naranja;S/ 6.00;;;3;;0;0;3; S/. 18.00 ;;
;R_0123;"Brocha 3""";;Tumi;mangoNegro;S/ 19.00;;;5;;0;0;5; S/. 95.00 ;;
;R_0124;"Brocha 3""";;C&A;mango azul;S/ 5.00;;;5;;0;0;5; S/. 25.00 ;;
;R_0125;"Brocha 3/4""";;Pionero;Mango naranja;S/ 1.50;;;4;;0;0;4; S/. 6.00 ;;
;R_0126;"Brocha 4""";;C & A;De Nylon M/Madera;S/ 7.50;S/ 3.74; unidad ;6;17/05/2024;0;0;6; S/. 45.00 ;;
;R_0127;"Brocha 4""";;Tumi;mango Negro;S/ 26.00;;;5;;0;0;5; S/. 130.00 ;;
;R_0128;"Brocha 5""";;Pionero;Mango naranja;S/ 9.00;;;4;;0;0;4; S/. 36.00 ;;
;R_0129;BRONCE 1/2;;;;S/ 6.00;S/ 2.50; unidad ;6;7/10/2024;0;0;6; S/. 36.00 ;;
;R_0130;ç;;Fabina Constructor;4 X 40;S/ 30.00;S/ 26.00;millar;1;;0;0;1; S/. 30.00 ;;
;R_0131;c Scolta 120;;cerradura;chapa 2 golpes;S/ 41.00;;unidad;2;;0;0;2; S/. 82.00 ;;
;R_0132;C Scolta 124;;scolta;2 G cerradura blindada;S/ 45.00;S/ 35.00;;17;12/09/2024;0;0;17; S/. 765.00 ;cerradiras nacionales travex;
;R_0133;c Scolta 900;;cerradura;Chapa 3 golpes;;;unidad;1;;0;0;1; S/. -   ;;
;R_0134;C travex 130;;cerradura;Chapa 2 golpes;S/ 46.00;;unidad;2;;0;0;2; S/. 92.00 ;;
;R_0135;C Travex 333;;travex;3 G cerradura blindada;S/ 55.00;S/ 43.00;;10;12/09/2024;0;0;10; S/. 550.00 ;cerraduras nacionales travex;
;R_0136;C Travex111;;cerradura;chapa 2 golpes;;;;6;;0;0;6; S/. -   ;;
;R_0137;c Yanes 112B;;cerradura;chapa 2 golpes;S/ 18.00;;unidad;38;;0;0;38; S/. 684.00 ;;
;R_0138;c Yanes 558B;;cerradura;chapa 3 golpes;S/ 22.00;;;72;;0;0;72; S/. 1,584.00 ;;
;R_0139;cable;;phelix;16AWG 16H 200/500v;S/ 2.00;;m;100;;0;0;100; S/. 200.00 ;;
;R_0140;Cable;;indeco negro;THW90 450/750V 12AWG;S/ 2.20;;m;100;;0;0;100; S/. 220.00 ;;
;R_0141;cable;;phelix;14 awg 14H 200/500V;S/ 1.00;;m;24;;0;0;24; S/. 24.00 ;;
;R_0142;Cable;;Indeco;03/05kv2X16AWG gris;S/ 1.20;;m;15.5;;0;0;15.5; S/. 18.60 ;;
;R_0143;Cable;;indeco rojo;THW-90 450/750V 14AWG;S/ 1.20;;m;80;;0;0;80; S/. 96.00 ;;
;R_0144;cable;;indeco;03/05kv2X14AWG gris;S/ 1.40;;m;90;;0;0;90; S/. 126.00 ;;
;R_0145;cable;;indeco rojo;TW80 450/750V 14AWG;S/ 1.20;;m;40;;0;0;40; S/. 48.00 ;;
;R_0146;Cable;;indeco blanco;NH-80 450/750V 4mm2;S/ 1.80;;m;100;;0;0;100; S/. 180.00 ;;
;R_0147;Cable;;Indeco blanco;THW90 450/750V 12AWG;S/ 1.40;;m;100;;0;0;100; S/. 140.00 ;;
;R_0148;cable acerado;;eurotools;colgador;S/ 22.00;S/ 15.73; metro ;1;17/09/2024;0;0;1; S/. 22.00 ;ALFA;
;R_0149;cable vulcanizado;;indeco;2X14 AWG NEGRO;S/ 6.00;S/ 3.50; METRO ;100;7/10/2024;0;0;100; S/. 600.00 ;;
;R_0150;CAJA DE 2 POLOS ADOSABLE;;;;S/ 6.00;S/ 2.70; unidad ;6;13/02/2024;0;0;6; S/. 36.00 ;;
;R_0151;Caja Modular P/instalacion;;COASPA;Caja p/ llave termica monof;S/ 5.00;;unidad;4;;0;0;4; S/. 20.00 ;;
;R_0152;caja Octagonal PVC;;;;S/ 1.00;S/ 0.40; unidad ;100;2/09/2025;0;0;100; S/. 100.00 ;alfa;
;R_0153;caja P/llave termica monofasica;;APG Electric;;S/ 8.50;;unidad;5;;0;0;5; S/. 42.50 ;;
;R_0154;caja P/llave termica trifasica;;KBA;Caja p/ instalaciones de superficie;;;unidad;1;;0;0;1; S/. -   ;;
;R_0155;Caja para Medidor PVC Nacional;;;;S/ 30.00;S/ 21.00; unidad ;1;2/09/2025;0;0;1; S/. 30.00 ;alfa;
;R_0156;CAJA PASE 4X4;;;100X100 PVC;S/ 5.50;S/ 3.20; unidad ;6;17/09/2024;0;0;6; S/. 33.00 ;ALFA;
;R_0157;Caja Rectangular;;;Luz;S/ 80.00;S/ 48.00; ciento ;1;2/04/2025;0;0;1; S/. 80.00 ;fabrode;
;R_0158;Cal nieve;;Derquin;Desinfectante Natural;S/ 2.50;S/ 1.20;kg;5;;0;0;5; S/. 12.50 ;;
;R_0159;Calamina GALV;;jr;3.6X0.14;S/ 16.00;S/ 13.00;unidad;30;25/06/2024;0;0;30; S/. 480.00 ;;
;R_0160;Calamina GALV;;;3.6X0.18;S/ 25.00;;;;;0;0;0; S/. -   ;;
;R_0161;Calamina GALV;;;3.6X0.20;;;;;;0;0;0; S/. -   ;;
;R_0162;Calamina GALV;;;3.6X0.22;S/ 30.00;;;;;0;0;0; S/. -   ;;
;R_0163;Calamina GALV;;;3.6X0.25;;;;;;0;0;0; S/. -   ;;
;R_0164;Calamina GALV;;;3.6X0.30;S/ 49.00;;;;;0;0;0; S/. -   ;;
;R_0165;Calamina ROJO;;;3.6X0.22;S/ 30.00;;unidad;;;0;0;0; S/. -   ;;
;R_0166;Calamina Trapezoidal 0.22;;;Tr6 rojo 3.60x1.10x0.22;S/ 36.00;S/ 32.00; unidad ;100;20/05/2024;0;0;100; S/. 3,600.00 ;;
;R_0167;canaleta c/ sum;;galv;3m;S/ 20.00;S/ 12.00;;;;0;0;0; S/. -   ;;
;R_0168;canaleta s/sum;;galv;3m;S/ 18.00;S/ 11.00;;;;0;0;0; S/. -   ;;
;R_0169;Candado 30 MM;;EUROTOOLS;HB011-1;S/ 6.00;S/ 2.25; unidad ;12;25/04/2025;0;0;12; S/. 72.00 ;alfa;
;R_0170;candado 30mm;;prescot;acero;S/ 7.00;S/ 5.07; unidad ;6;19/02/2024;0;0;6; S/. 42.00 ;;
;R_0171;candado 40mm;;prescot;acero;S/ 8.00;S/ 5.90; unidad ;6;19/02/2024;0;0;6; S/. 48.00 ;;
;R_0172;Candado 50 MM;;EUROTOOLS;HB011-3;S/ 9.00;S/ 4.75; unidad ;12;23/04/2025;0;0;12; S/. 108.00 ;alfa;
;R_0173;Candado 60 MM;;EUROTOOLS;HB011-4;S/ 12.00;S/ 6.70; unidad ;3;24/04/2025;0;0;3; S/. 36.00 ;alfa;
;R_0174;candado dor 60 mm;;EUROTOOLS;60 mm;S/ 10.00;S/ 6.70; unidad ;3;28/03/2025;0;0;3; S/. 30.00 ;;
;R_0175;candado dor 75 mm;;EUROTOOLS;75 mm;S/ 13.00;S/ 9.80; unidad ;3;29/03/2025;0;0;3; S/. 39.00 ;;
;R_0176;Capucha;;;rojo;S/ 6.00;S/ 2.00;ciento;8;;0;0;8; S/. 48.00 ;;
;R_0177;Capucha;;;gris;S/ 6.00;S/ 2.00;ciento;6.5;;0;0;6.5; S/. 39.00 ;;
;R_0178;Cera al Agua;;Worsal;rojo;S/ 10.00;;Gl;3;;0;0;3; S/. 30.00 ;;
;R_0179;Cera al Agua;;worsal;Blanco cono;S/ 10.00;;Gl;1;;0;0;1; S/. 10.00 ;;
;R_0180;ceradura perilla;;wailec;;S/ 14.00;S/ 9.00;;36;;0;0;36; S/. 504.00 ;;
;R_0181;cerradura 2 golpe;;phelix;;S/ 19.00;S/ 16.00;;30;;0;0;30; S/. 570.00 ;;
;R_0182;cerradura Andina Forte A130;;Andina Forte A130;Chapa 2 golpes;;;unidad;4;;0;0;4; S/. -   ;;
